,country,continent,population,day,time,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
126,Malta,Europe,444033.0,2025-07-28,2025-07-28 16:15:06+00:00,386,,121420,120149,273448,1993,885,4888375,2170600
127,Marshall-Islands,Oceania,60057.0,2025-07-28,2025-07-28 16:15:08+00:00,0,,16138,16121,268711,283,17,,
128,Martinique,North-America,374087.0,2025-07-28,2025-07-28 16:15:05+00:00,,,230354,,615777,2946,1102,2215870,828928
129,Mauritania,Africa,4901981.0,2025-07-28,2025-07-28 16:15:06+00:00,380,,63848,62471,13025,203,997,206030,1009957
130,Mauritius,Africa,1274727.0,2025-07-28,2025-07-28 16:15:07+00:00,696,,43025,41278,33752,824,1051,281374,358675
131,Mayotte,Africa,286259.0,2025-07-28,2025-07-28 16:15:07+00:00,,,42027,,146815,657,188,618038,176919
132,Mexico,North-America,131562772.0,2025-07-28,2025-07-28 16:15:03+00:00,467986,,7702809,6899865,58549,2546,334958,152124,20013810
133,Micronesia,Oceania,117489.0,2025-07-28,2025-07-28 16:15:07+00:00,,,26547,,225953,553,65,701598,82430
134,Moldova,Europe,4013171.0,2025-07-28,2025-07-28 16:15:05+00:00,,,635145,,158265,3044,12218,801437,3216305
135,Monaco,Europe,39783.0,2025-07-28,2025-07-28 16:15:07+00:00,,,17181,,431868,1684,67,1976875,78646
136,Mongolia,Asia,3378078.0,2025-07-28,2025-07-28 16:15:04+00:00,0,,1011496,1009212,299429,676,2284,1193000,4030048
137,Montenegro,Europe,627950.0,2025-07-28,2025-07-28 16:15:05+00:00,1902,,296542,291794,472238,4532,2846,4410034,2769281
138,Montserrat,North-America,4965.0,2025-07-28,2025-07-28 16:15:08+00:00,19,,1403,1376,282578,1611,8,3577442,17762
139,Morocco,Africa,37772756.0,2025-07-28,2025-07-28 16:15:04+00:00,,,1278992,,33860,432,16303,344191,13001033
140,Mozambique,Africa,33089461.0,2025-07-28,2025-07-28 16:15:05+00:00,2676,11,233731,228805,7064,68,2250,41437,1371127
141,MS-Zaandam,,,2025-07-28,2025-07-28 16:15:09+00:00,0,,9,7,,,2,,
142,Myanmar,Asia,55227143.0,2025-07-28,2025-07-28 16:15:05+00:00,2219,,641873,620159,11622,353,19495,212061,11711514
143,Namibia,Africa,2633874.0,2025-07-28,2025-07-28 16:15:06+00:00,1184,,172389,167099,65451,1559,4106,403460,1062663
144,Nauru,Oceania,10903.0,2025-07-28,2025-07-28 16:15:08+00:00,45,,5393,5347,494635,92,1,1881042,20509
145,Nepal,Asia,30225582.0,2025-07-28,2025-07-28 16:15:04+00:00,97,,1003450,991322,33199,398,12031,200088,6047766
146,Netherlands,Europe,17211447.0,2025-07-28,2025-07-28 16:15:03+00:00,195,,8635786,8612599,501747,1336,22992,1509718,25984435
147,New-Caledonia,Oceania,290915.0,2025-07-28,2025-07-28 16:15:06+00:00,,,80064,,275214,1079,314,340182,98964
148,New-Zealand,Oceania,4898203.0,2025-07-28,2025-07-28 16:15:03+00:00,1623,,2621111,2613791,535117,1163,5697,1586011,7768604
149,Nicaragua,North-America,6779100.0,2025-07-28,2025-07-28 16:15:07+00:00,14041,,18491,4225,2728,33,225,,
150,Niger,Africa,26083660.0,2025-07-28,2025-07-28 16:15:08+00:00,729,1,9931,8890,381,12,312,9759,254538
151,Nigeria,Africa,216746934.0,2025-07-28,2025-07-28 16:15:05+00:00,4080,11,267188,259953,1233,15,3155,26339,5708974
152,Niue,Oceania,1622.0,2025-07-28,2025-07-28 16:15:09+00:00,3,,1059,1056,652898,,,,
153,North-Macedonia,Europe,2081304.0,2025-07-28,2025-07-28 16:15:05+00:00,3523,,350567,337068,168436,4793,9976,1069626,2226216
154,Norway,Europe,5511370.0,2025-07-28,2025-07-28 16:15:04+00:00,0,,1509732,1503094,273930,1204,6638,1996315,11002430
155,Oman,Asia,5323993.0,2025-07-28,2025-07-28 16:15:05+00:00,,,399449,,75028,869,4628,4695724,25000000
156,Pakistan,Asia,229488994.0,2025-07-28,2025-07-28 16:15:04+00:00,12583,,1581936,1538689,6893,134,30664,133292,30589153
157,Palau,Oceania,18233.0,2025-07-28,2025-07-28 16:15:08+00:00,4,,6290,6276,344979,548,10,3917841,71434
158,Palestine,Asia,5345541.0,2025-07-28,2025-07-28 16:15:05+00:00,159,,621008,615445,116173,1011,5404,575907,3078533
159,Panama,North-America,4446964.0,2025-07-28,2025-07-28 16:15:04+00:00,64,16,1059893,1051102,238341,1962,8727,1772585,7882622
160,Papua-New-Guinea,Oceania,9292169.0,2025-07-28,2025-07-28 16:15:07+00:00,26,,46864,46168,5043,72,670,26813,249149
161,Paraguay,South-America,7305843.0,2025-07-28,2025-07-28 16:15:04+00:00,,,837602,,114648,2759,20155,363751,2657506
162,Peru,South-America,33684208.0,2025-07-28,2025-07-28 16:15:03+00:00,0,4,4572667,4350506,135751,6595,222161,1158115,39010194
163,Philippines,Asia,112508994.0,2025-07-28,2025-07-28 16:15:03+00:00,6138,,4140383,4067381,36800,594,66864,320888,36102746
164,Poland,Europe,37739785.0,2025-07-28,2025-07-28 16:15:03+00:00,,,6661991,,176524,3196,120598,1041970,39323709
165,Portugal,Europe,10140570.0,2025-07-28,2025-07-28 16:15:03+00:00,127,61,5643062,5614809,556484,2774,28126,4549993,46139518
166,Qatar,Asia,2979915.0,2025-07-28,2025-07-28 16:15:05+00:00,147,16,514524,513687,172664,232,690,1364257,4065369
167,R&eacute;union,Africa,908061.0,2025-07-28,2025-07-28 16:15:05+00:00,,,494595,,544672,1014,921,1766027,1603660
168,Romania,Europe,19031335.0,2025-07-28,2025-07-28 16:15:03+00:00,657,21,3529735,3460149,185470,3622,68929,1511122,28758667
169,Russia,Europe,145805947.0,2025-07-28,2025-07-28 16:15:03+00:00,175641,,24124215,23545818,165454,2762,402756,1875095,273400000
170,Rwanda,Africa,13600464.0,2025-07-28,2025-07-28 16:15:06+00:00,11,,133518,132039,9817,108,1468,442778,6021981
171,S-Korea,Asia,51329899.0,2025-07-28,2025-07-28 16:15:02+00:00,0,,34571873,34535939,673523,700,35934,307892,15804065
172,Saint-Helena,Africa,6115.0,2025-07-28,2025-07-28 16:15:08+00:00,2164,,2166,2,354211,,,,
173,Saint-Kitts-and-Nevis,North-America,53871.0,2025-07-28,2025-07-28 16:15:08+00:00,0,,6607,6559,122645,891,48,2356704,126958
174,Saint-Lucia,North-America,185113.0,2025-07-28,2025-07-28 16:15:07+00:00,0,,30215,29805,163225,2215,410,1139752,210983
175,Saint-Martin,North-America,39730.0,2025-07-28,2025-07-28 16:15:08+00:00,,,12324,,310194,1586,63,2828643,112382
176,Saint-Pierre-Miquelon,North-America,5759.0,2025-07-28,2025-07-28 16:15:08+00:00,1001,,3452,2449,599410,347,2,4410488,25400
177,Samoa,Oceania,202239.0,2025-07-28,2025-07-28 16:15:07+00:00,15370,,17006,1605,84089,153,31,926612,187397
178,San-Marino,Europe,34085.0,2025-07-28,2025-07-28 16:15:07+00:00,46,,26185,26011,768226,3755,128,5775414,196855
179,Sao-Tome-and-Principe,Africa,227679.0,2025-07-28,2025-07-28 16:15:08+00:00,13,,6778,6685,29770,351,80,130008,29600
180,Saudi-Arabia,Asia,35844909.0,2025-07-28,2025-07-28 16:15:04+00:00,,,841469,,23475,269,9646,1268848,45481735
181,Senegal,Africa,17653671.0,2025-07-28,2025-07-28 16:15:06+00:00,58,,89053,87024,5044,112,1971,64946,1146543
182,Serbia,Europe,8653016.0,2025-07-28,2025-07-28 16:15:03+00:00,389,,2615054,2596608,302213,2087,18057,1555958,13463733
183,Seychelles,Africa,99426.0,2025-07-28,2025-07-28 16:15:06+00:00,0,,51220,51048,515157,1730,172,,
184,Sierra-Leone,Africa,8306436.0,2025-07-28,2025-07-28 16:15:08+00:00,,,7779,,937,15,126,31296,259958
185,Singapore,Asia,5943546.0,2025-07-28,2025-07-28 16:15:03+00:00,0,4,3006155,3004131,505785,341,2024,4165302,24756666
186,Sint-Maarten,North-America,43966.0,2025-07-28,2025-07-28 16:15:08+00:00,54,,11051,10905,251353,2093,92,1411454,62056
187,Slovakia,Europe,5460193.0,2025-07-28,2025-07-28 16:15:04+00:00,0,23,1877605,1856381,343872,3887,21224,1364199,7448789
188,Slovenia,Europe,2078034.0,2025-07-28,2025-07-28 16:15:04+00:00,22,,1356546,1349424,652803,3417,7100,1370382,2847701
189,Solomon-Islands,Oceania,721159.0,2025-07-28,2025-07-28 16:15:07+00:00,,,25954,,35989,276,199,,
190,Somalia,Africa,16841795.0,2025-07-28,2025-07-28 16:15:07+00:00,12791,,27334,13182,1623,81,1361,23778,400466
191,South-Africa,Africa,60756135.0,2025-07-28,2025-07-28 16:15:03+00:00,61362,192,4076463,3912506,67095,1689,102595,441027,26795090
192,South-Sudan,Africa,11618511.0,2025-07-28,2025-07-28 16:15:07+00:00,557,1,18819,18115,1620,13,147,35313,410280
193,Spain,Europe,46719142.0,2025-07-28,2025-07-28 16:15:03+00:00,30634,231,13914811,13762417,297840,2606,121760,10082298,471036328
194,Sri-Lanka,Asia,21575842.0,2025-07-28,2025-07-28 16:15:05+00:00,5,,672754,655852,31181,783,16897,300619,6486117
195,St-Barth,North-America,9945.0,2025-07-28,2025-07-28 16:15:08+00:00,,,5507,,553746,603,6,7908095,78646
196,St-Vincent-Grenadines,North-America,111551.0,2025-07-28,2025-07-28 16:15:08+00:00,57,,9674,9493,86723,1112,124,1023720,114197
197,Sudan,Africa,45992020.0,2025-07-28,2025-07-28 16:15:06+00:00,0,,63993,58947,1391,110,5046,12240,562941
198,Suriname,South-America,596831.0,2025-07-28,2025-07-28 16:15:06+00:00,,,82588,,138378,2359,1408,405822,242207
199,Sweden,Europe,10218971.0,2025-07-28,2025-07-28 16:15:03+00:00,230,,2754129,2726492,269511,2682,27407,1908301,19500873
200,Switzerland,Europe,8773637.0,2025-07-28,2025-07-28 16:15:03+00:00,292,,4453053,4438309,507549,1647,14452,2716487,23833472
201,Syria,Asia,19364809.0,2025-07-28,2025-07-28 16:15:06+00:00,0,,57743,54578,2982,163,3165,7553,146269
202,Taiwan,Asia,23888595.0,2025-07-28,2025-07-28 16:15:03+00:00,0,,10241523,10222518,428720,796,19005,1286903,30742304
203,Tajikistan,Asia,9957464.0,2025-07-28,2025-07-28 16:15:07+00:00,397,,17786,17264,1786,13,125,,
204,Tanzania,Africa,63298550.0,2025-07-28,2025-07-28 16:15:07+00:00,,,43223,,683,13,846,,
205,Thailand,Asia,70078203.0,2025-07-28,2025-07-28 16:15:03+00:00,42927,,4770149,4692636,68069,494,34586,246488,17273454
206,Timor-Leste,Asia,1369429.0,2025-07-28,2025-07-28 16:15:07+00:00,220,,23460,23102,17131,101,138,203391,278529
