,country,continent,population,day,time,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
40,Channel-Islands,Europe,176463.0,2025-07-28,2025-07-28 16:15:06+00:00,168,,101717,101321,576421,1292,228,7099551,1252808
41,Chile,South-America,19250195.0,2025-07-28,2025-07-28 16:15:03+00:00,67906,7,5384853,5252450,279730,3350,64497,2617225,50382097
42,China,Asia,1448471400.0,2025-07-28,2025-07-28 16:15:09+00:00,118977,,503302,379053,347,4,5272,110461,160000000
43,Colombia,South-America,51512762.0,2025-07-28,2025-07-28 16:15:03+00:00,44821,342,6400173,6212152,124244,2780,143200,717327,36951507
44,Comoros,Africa,907419.0,2025-07-28,2025-07-28 16:15:08+00:00,9,,9109,8939,10038,177,161,,
45,Congo,Africa,5797805.0,2025-07-28,2025-07-28 16:15:07+00:00,983,,25375,24006,4377,67,386,59991,347815
46,Cook-Islands,Oceania,17571.0,2025-07-28,2025-07-28 16:15:08+00:00,51,,7203,7150,409937,114,2,1120596,19690
47,Costa-Rica,North-America,5182354.0,2025-07-28,2025-07-28 16:15:04+00:00,,,1238883,,239058,1819,9428,899158,4659757
48,Croatia,Europe,4059286.0,2025-07-28,2025-07-28 16:15:04+00:00,32609,,1309728,1258432,322650,4604,18687,1394355,5660084
49,Cuba,North-America,11305652.0,2025-07-28,2025-07-28 16:15:04+00:00,61,,1115251,1106660,98645,754,8530,1273936,14402674
50,Cura&ccedil;ao,North-America,165529.0,2025-07-28,2025-07-28 16:15:07+00:00,971,3,45986,44720,277812,1782,295,3000640,496693
51,Cyprus,Asia,1223387.0,2025-07-28,2025-07-28 16:15:04+00:00,0,,681110,679745,556741,1116,1365,7879860,9640118
52,Czechia,Europe,10736784.0,2025-07-28,2025-07-28 16:15:03+00:00,318,2,4759041,4715206,443246,4053,43517,5386552,57834241
53,Denmark,Europe,5834950.0,2025-07-28,2025-07-28 16:15:03+00:00,0,,3183756,3174942,545636,1511,8814,22165247,129333107
54,Diamond-Princess,,,2025-07-28,2025-07-28 16:15:09+00:00,0,,712,699,,,13,,
55,Djibouti,Africa,1016097.0,2025-07-28,2025-07-28 16:15:08+00:00,74,,15690,15427,15441,186,189,301094,305941
56,Dominica,North-America,72344.0,2025-07-28,2025-07-28 16:15:08+00:00,0,,16038,15964,221691,1023,74,3170187,229344
57,Dominican-Republic,North-America,11056370.0,2025-07-28,2025-07-28 16:15:05+00:00,190,4,675890,671316,61131,397,4384,338350,3740928
58,DPRK,Asia,25990679.0,2025-07-28,2025-07-28 16:15:03+00:00,0,,4772813,4772739,183636,3,74,,
59,DRC,Africa,95240792.0,2025-07-28,2025-07-28 16:15:06+00:00,13381,,99338,84489,1043,15,1468,8890,846704
60,Ecuador,South-America,18113361.0,2025-07-28,2025-07-28 16:15:04+00:00,0,,1070188,1034145,59083,1990,36043,170173,3082403
61,Egypt,Africa,106156692.0,2025-07-28,2025-07-28 16:15:05+00:00,49228,122,516023,442182,4861,232,24613,34792,3693367
62,El-Salvador,North-America,6550389.0,2025-07-28,2025-07-28 16:15:05+00:00,18215,,201855,179410,30816,646,4230,398467,2610114
63,Equatorial-Guinea,Africa,1496662.0,2025-07-28,2025-07-28 16:15:07+00:00,139,5,17229,16907,11512,122,183,244342,365697
64,Eritrea,Africa,3662244.0,2025-07-28,2025-07-28 16:15:08+00:00,0,,10189,10086,2782,28,103,6470,23693
65,Estonia,Europe,1321910.0,2025-07-28,2025-07-28 16:15:05+00:00,,,628070,,475123,2270,3001,5271239,6968103
66,Eswatini,Africa,1184817.0,2025-07-28,2025-07-28 16:15:06+00:00,648,,75191,73116,63462,1204,1427,885119,1048704
67,Ethiopia,Africa,120812698.0,2025-07-28,2025-07-28 16:15:05+00:00,5412,,501157,488171,4148,63,7574,46066,5565340
68,Faeroe-Islands,Europe,49233.0,2025-07-28,2025-07-28 16:15:07+00:00,,,34658,,703959,569,28,15802409,778000
69,Falkland-Islands,South-America,3539.0,2025-07-28,2025-07-28 16:15:08+00:00,0,,1930,1930,545352,,,2439107,8632
70,Fiji,Oceania,909466.0,2025-07-28,2025-07-28 16:15:06+00:00,1006,,69117,67226,75997,973,885,739866,672883
71,Finland,Europe,5554960.0,2025-07-28,2025-07-28 16:15:04+00:00,170,,1516117,1503989,272930,2153,11958,2179850,12108977
72,France,Europe,65584518.0,2025-07-28,2025-07-28 16:15:02+00:00,0,,40138560,39970918,612013,2556,167642,4139547,271490188
73,French-Guiana,South-America,314169.0,2025-07-28,2025-07-28 16:15:06+00:00,86367,6,98041,11254,312065,1337,420,2072951,651257
74,French-Polynesia,Oceania,284164.0,2025-07-28,2025-07-28 16:15:06+00:00,,,79254,,278902,2287,650,,
75,Gabon,Africa,2331533.0,2025-07-28,2025-07-28 16:15:06+00:00,70,,49051,48674,21038,132,307,695641,1621909
76,Gambia,Africa,2558482.0,2025-07-28,2025-07-28 16:15:08+00:00,65,,12626,12189,4935,145,372,60851,155686
77,Georgia,Asia,3968738.0,2025-07-28,2025-07-28 16:15:04+00:00,,,1861665,,469082,4317,17132,4263340,16920079
78,Germany,Europe,83883596.0,2025-07-28,2025-07-28 16:15:02+00:00,405368,,38828995,38240600,462891,2182,183027,1458359,122332384
